Timestamp,Age,Gender Identity,Years of Formal training,Years of Informal Training,Performance Experience,Audio Output,"Baseline Mood (Valence, Arousal, Anxiety, Focus)",Mode 2 Hues,Mode 4 Hues,Mode 6 Hues,Likert Mode 2,Likert Mode 4,Likert Mode 6,"Post (Valence, Arousal, Anxiety, Focus)",Synaesthesia
31/03/2026 23:04:08,18,Prefer not to say,0,0,No,Over-ear headphones,"4,2,2,3","251,360","84,26","241,49","4,3,3,3,3,2,4,3","2,4,4,2,3,4,4,3","4,2,4,2,2,3,4,4","3,2,4,2",No
31/03/2026 23:07:15,18,Male,0,3-5,Yes,Over-ear headphones,"4,2,4,5","73,192","182,283","121,235","4,4,2,1,5,4,5,3","2,3,4,4,2,4,4,5","3,4,3,4,2,2,3,4","4,4,2,4",No
01/04/2026 12:30:53,26,Female,10+,10+,Yes,Laptop/phone speakers,"4,3,2,5","0,68","244,177","111,220","3,3,2,2,2,1,2,4","2,3,4,4,3,3,4,4","2,2,3,3,2,4,4,5","2,4,2,5",Yes - undiagnosed
01/04/2026 14:26:41,19,Agender,5-10,N/A,Yes,Over-ear headphones,"3,3,4,3","27,73","322,69","267,106","4,2,4,2,4,3,4,5","5,3,3,4,3,2,4,3","4,4,2,3,5,2,4,3","3,3,4,3",No
01/04/2026 14:39:32,19,trans man,10+,N/A,Yes,Laptop/phone speakers,"4,3,2,4","357,57","276,245","100,263","5,4,2,2,4,1,2,4","2,3,4,3,2,3,4,5","3,3,4,4,3,3,4,4","5,3,2,4",Yes - undiagnosed
01/04/2026 14:54:07,19,Female,5-10,10+,Yes,In-ear headphones,"4,3,3,3","290,360","147,259","223,88","5,4,1,4,5,1,2,4","3,5,4,4,4,4,4,5","3,4,4,5,3,5,5,5","4,4,3,3",No
01/04/2026 16:01:33,22,Male,0,0,No,Over-ear headphones,"3,4,2,3","57,151","258,292","128,260","3,3,2,3,2,2,3,3","3,2,2,3,4,2,2,4","3,2,3,2,3,2,3,3","2,3,2,3",No
01/04/2026 16:09:11,20,Non-binary,5-10,1-2,Yes,In-ear headphones,"3,2,1,2","236,141","265,63","233,59","4,3,1,3,4,1,3,3","1,1,2,5,1,1,2,5","1,1,2,4,1,4,3,4","4,2,1,4",No
01/04/2026 16:10:41,21,Male,0,1-2,No,Over-ear headphones,"2,3,1,3","157,236","275,239","181,248","4,4,2,4,3,2,2,3","3,2,1,3,3,3,3,2","3,4,3,3,2,3,3,2","2,3,2,3",No
01/04/2026 16:23:19,20,Female,10+,N/A,Yes,Laptop/phone speakers,"5,5,1,5","302,180","238,277",144,"5,3,2,3,4,1,2,2","2,4,4,5,2,3,3,5","3,3,3,3,3,3,3,3","3,3,1,5",I don't know
01/04/2026 16:23:27,20,Male,0,1-2,No,External speakers,"5,1,2,4","56,208","233,0","39,226","2,1,4,4,2,3,4,4","4,3,2,3,4,2,2,1","3,2,2,3,3,3,3,3","4,2,2,4",I don't know
01/04/2026 16:23:56,18,Male,5-10,3-5,Yes,In-ear headphones,"4,3,2,4","177,59","82,153","30,75","4,4,3,4,4,3,3,2","2,4,4,4,2,4,3,3","3,4,4,4,3,4,3,4","4,3,3,4",I don't know
01/04/2026 16:25:18,20,Non-binary,3-5,N/A,Yes,In-ear headphones,"4,5,3,4","168,253","47,26","97,50","3,3,3,4,4,2,3,2","3,3,3,4,4,3,3,2","4,3,3,4,4,4,4,2","3,3,4,4",No
